,created_at,screen_name,text,converted_time,compound,neg,pos,neu
99,Fri Dec 08 22:32:06 +0000 2017,BBCNews,"Saturday's Sun: ""Glass attack on TV Kat"" (via @hendopolis) #tomorrowspaperstoday https://t.co/jzP6tjY65d",2017-12-08 22:32:06+00:00,-0.4767,0.237,0.0,0.763
98,Fri Dec 08 22:32:22 +0000 2017,BBCNews,"Saturday's Mirror: ""Mrs Softee"" (via @hendopolis) #tomorrowspaperstoday https://t.co/XyZ8IZD1Q4",2017-12-08 22:32:22+00:00,0.0,0.0,0.0,1.0
97,Fri Dec 08 22:51:28 +0000 2017,BBCNews,"Saturday's Guardian: ""Deal is done but EU warns of more delays"" (via @hendopolis) #tomorrowspaperstoday https://t.co/OhXo4axRB5",2017-12-08 22:51:28+00:00,-0.1531,0.103,0.0,0.897
96,Fri Dec 08 22:51:52 +0000 2017,BBCNews,"Saturday's Express: ""Huge Brexit boost at last"" (via @hendopolis) #tomorrowspaperstoday https://t.co/DjTHu85JFx",2017-12-08 22:51:52+00:00,0.6124,0.0,0.357,0.643
95,Sat Dec 09 00:35:30 +0000 2017,BBCNews,"'Come out in class - if you want to', teachers urged https://t.co/zzNANUrfOw",2017-12-09 00:35:30+00:00,0.0772,0.0,0.115,0.885
94,Sat Dec 09 01:24:41 +0000 2017,BBCNews,Nazanin Zaghari-Ratcliffe: Boris Johnson set for talks in Iran https://t.co/gyFhyJJ6pi,2017-12-09 01:24:41+00:00,0.0,0.0,0.0,1.0
93,Sat Dec 09 03:16:08 +0000 2017,BBCNews,Grammar schools 'contrary to common good' - Archbishop of Canterbury https://t.co/B2eQXTw29l,2017-12-09 03:16:08+00:00,0.4404,0.0,0.244,0.756
92,Sat Dec 09 05:20:47 +0000 2017,BBCNews,Brexit: Michael Gove says UK voters can change final deal https://t.co/Dfn5uyMetY,2017-12-09 05:20:47+00:00,0.0,0.0,0.0,1.0
91,Sat Dec 09 07:21:08 +0000 2017,BBCNews,Ashes: Ben Duckett dropped from England tour game after Perth bar incident https://t.co/5JvcAC9oR7,2017-12-09 07:21:08+00:00,0.0,0.0,0.0,1.0
90,Sat Dec 09 08:04:06 +0000 2017,BBCNews,Thousands to join Sleep in the Park event in Edinburgh https://t.co/dBu75i9dsU,2017-12-09 08:04:06+00:00,0.296,0.0,0.18,0.82
89,Sat Dec 09 08:16:21 +0000 2017,BBCNews,RT @BBCBusiness: Why do animals keep popping up in the financial world? Take a look at our Business Bestiary. The full A-Z of Business Anim…,2017-12-09 08:16:21+00:00,0.0,0.0,0.0,1.0
88,Sat Dec 09 08:16:40 +0000 2017,BBCNews,"RT @BBCEngland: A Lego-mad couple are using 350,000 bricks to create an 8ft (2.4m) doll's house in their Cambridgeshire lounge 👀 https://t.…",2017-12-09 08:16:40+00:00,0.2732,0.0,0.1,0.9
87,Sat Dec 09 08:16:53 +0000 2017,BBCNews,RT @BBCBusiness: Would you be a farmer? #bbcfoodchain https://t.co/WXekNjI1Xb,2017-12-09 08:16:53+00:00,0.0,0.0,0.0,1.0
86,Sat Dec 09 08:32:20 +0000 2017,BBCNews,RT @BBCArchive: #OnThisDay 1934: Dame Judi Dench was born in Heworth. https://t.co/ZxiV5xMyGv,2017-12-09 08:32:20+00:00,0.0,0.0,0.0,1.0
85,Sat Dec 09 08:32:31 +0000 2017,BBCNews,"RT @BBCSport: England's troubled tour has taken another turn. 

Ben Duckett has been involved in an incident in a Perth bar - the same day…",2017-12-09 08:32:31+00:00,-0.4588,0.12,0.0,0.88
84,Sat Dec 09 08:49:25 +0000 2017,BBCNews,RT @BBCScienceNews: Dying mother starts petition to lower age of breast screening https://t.co/QiuCc3ZRFW,2017-12-09 08:49:25+00:00,-0.296,0.155,0.0,0.845
83,Sat Dec 09 09:52:33 +0000 2017,BBCNews,RT @BBCTech: Calls for Twitch to police 'sexual streaming' https://t.co/LCXB3CFXex,2017-12-09 09:52:33+00:00,0.0,0.0,0.0,1.0
82,Sat Dec 09 09:57:22 +0000 2017,BBCNews,Why British Muslims care about Jerusalem https://t.co/Ui4sKUUeBU https://t.co/9asnrFfPtR,2017-12-09 09:57:22+00:00,0.4939,0.0,0.314,0.686
81,Sat Dec 09 10:29:25 +0000 2017,BBCNews,"RT @bbcworldservice: Meet the 'Godfather of Coral' - he's 72 and still diving...
More ocean stories here: https://t.co/rSuH8OsVe6 https://t…",2017-12-09 10:29:25+00:00,0.0,0.0,0.0,1.0
80,Sat Dec 09 10:47:14 +0000 2017,BBCNews,"RT @bbcweather: Areas most at risk of seeing heavy and disruptive #snow early Sunday morning will be The Midlands, Wales and N England with…",2017-12-09 10:47:14+00:00,-0.5688,0.182,0.0,0.818
79,Sat Dec 09 11:07:55 +0000 2017,BBCNews,"RT @BBCSport: Ben Duckett was dropped after pouring a drink over another player in a Perth bar.

Trevor Bayliss says he's fed up of answeri…",2017-12-09 11:07:55+00:00,0.0,0.0,0.0,1.0
78,Sat Dec 09 11:38:53 +0000 2017,BBCNews,"RT @BBCSport: The snow has hit Scottish football, with one game in England also off.

Stay up to date: https://t.co/ooFS8fDH90 https://t.co…",2017-12-09 11:38:53+00:00,0.0,0.0,0.0,1.0
77,Sat Dec 09 12:03:06 +0000 2017,BBCNews,RT @BBCPolitics: #BarnierBants?... has the lack of sleep finally got to @adamfleming? Listen to our 🇬🇧 #Brexitcast 🇪🇺 podcast 🎧 https://t.c…,2017-12-09 12:03:06+00:00,-0.3939,0.123,0.0,0.877
76,Sat Dec 09 12:29:03 +0000 2017,BBCNews,RT @bbcweather: Area covered by a Met Office AMBER weather warning indicates the area most likely *at the moment* to see disruption from he…,2017-12-09 12:29:03+00:00,-0.5994,0.189,0.0,0.811
74,Sat Dec 09 13:47:34 +0000 2017,BBCNews,Coventry hospital changes procedures after woman's death https://t.co/DQz7zLp6ss,2017-12-09 13:47:34+00:00,-0.5994,0.358,0.0,0.642
75,Sat Dec 09 13:47:34 +0000 2017,BBCNews,Horsham woman 'ran screaming' for help after rape https://t.co/RpxYBZAHJN,2017-12-09 13:47:34+00:00,-0.6808,0.456,0.169,0.375
73,Sat Dec 09 13:57:06 +0000 2017,BBCNews,Motorcyclist clocked at 101mph on Rest and Be Thankful https://t.co/xxMn1W3HQ3,2017-12-09 13:57:06+00:00,0.5719,0.0,0.291,0.709
72,Sat Dec 09 14:29:38 +0000 2017,BBCNews,Man stripped in 50-hour kidnap ordeal in Thornton Heath https://t.co/RKgwm7FQiT,2017-12-09 14:29:38+00:00,0.0,0.0,0.0,1.0
71,Sat Dec 09 15:33:25 +0000 2017,BBCNews,"RT @BBCSport: Bradley Wiggins in a boat?!

The five-time Olympic cycling champion made his competitive rowing debut at the British Indoor C…",2017-12-09 15:33:25+00:00,0.7088,0.0,0.237,0.763
70,Sat Dec 09 16:12:10 +0000 2017,BBCNews,RT @bbcstories: These teachers are putting their hands in their own pockets to increase their pupils’ attendance by turning spare change in…,2017-12-09 16:12:10+00:00,0.3182,0.0,0.099,0.901
69,Sat Dec 09 16:29:26 +0000 2017,BBCNews,Two young Devon men die after 'taking drugs at Plymouth Pryzm nightclub' https://t.co/lmJiazOVw5,2017-12-09 16:29:26+00:00,-0.5994,0.245,0.0,0.755
68,Sat Dec 09 16:42:02 +0000 2017,BBCNews,Johnson holds 'frank' talks in Iran https://t.co/2GlG6tB7Ym,2017-12-09 16:42:02+00:00,0.0,0.0,0.0,1.0
67,Sat Dec 09 16:48:45 +0000 2017,BBCNews,"RT @BBCSport: It’s a 7️⃣th UK Championship final for Ronnie O'Sullivan!

The Rocket defeated Stephen Maguire in the semi-final.

Full repor…",2017-12-09 16:48:45+00:00,-0.126,0.14,0.119,0.741
66,Sat Dec 09 16:49:14 +0000 2017,BBCNews,#Brexit: What still needs to be worked out? https://t.co/FN5H8LLZUK https://t.co/WpZMGjlvxw,2017-12-09 16:49:14+00:00,0.0,0.0,0.0,1.0
