,created_at,screen_name,text,converted_time,compound,neg,pos,neu
99,Sun Dec 10 02:15:02 +0000 2017,CNN,"Bitcoin's phenomenal rise this year may be making speculators very rich, but some observers say it's terrible for t… https://t.co/RJ1TEaPxQR",2017-12-10 02:15:02+00:00,-0.4026,0.169,0.099,0.732
98,Sun Dec 10 02:21:56 +0000 2017,CNN,"University of Oklahoma quarterback Baker Mayfield wins the Heisman Trophy, as college football's best player… https://t.co/e9BpQH8fDi",2017-12-10 02:21:56+00:00,0.836,0.0,0.361,0.639
97,Sun Dec 10 02:30:17 +0000 2017,CNN,"For the first time in American politics, anonymous ""dark money"" political donations could become tax-deductible… https://t.co/8vx7gDtlKu",2017-12-10 02:30:17+00:00,0.0,0.0,0.0,1.0
96,Sun Dec 10 02:45:06 +0000 2017,CNN,"Obama is right — US democracy is fragile, writes Ruth Ben-Ghiat https://t.co/3HT3bbHVu6 (via @CNNOpinion) https://t.co/QNX9n7aDvC",2017-12-10 02:45:06+00:00,0.0,0.0,0.0,1.0
95,Sun Dec 10 03:03:13 +0000 2017,CNN,"“It’s more than a cup of coffee, it’s a human rights movement” says Amy Wright, who founded @bittyandbeauscoffee em… https://t.co/PswOGnrE1K",2017-12-10 03:03:13+00:00,0.0,0.0,0.0,1.0
94,Sun Dec 10 03:15:08 +0000 2017,CNN,The European Union has blacklisted 17 countries and territories as part of a crackdown on tax havens… https://t.co/hJGEYT8o0v,2017-12-10 03:15:08+00:00,0.0,0.0,0.0,1.0
93,Sun Dec 10 03:16:05 +0000 2017,CNN,"The official death toll in Puerto Rico from Hurricane Maria rises to 64, public safety agency says. Investigations… https://t.co/IM9AcX6okY",2017-12-10 03:16:05+00:00,-0.2732,0.165,0.118,0.717
92,Sun Dec 10 03:30:31 +0000 2017,CNN,The rise of a ‘fish mafia’ in this small Mexican town is killing off an entire population of small porpoises.… https://t.co/RE2Aj4GJtB,2017-12-10 03:30:31+00:00,-0.6597,0.188,0.0,0.812
91,Sun Dec 10 03:45:04 +0000 2017,CNN,"The critically acclaimed drama ""Big Little Lies"" is officially coming back for another season… https://t.co/WmE6oKMtVQ",2017-12-10 03:45:04+00:00,-0.3626,0.152,0.0,0.848
90,Sun Dec 10 04:01:07 +0000 2017,CNN,"References to climate change and the EPA's use of renewable energy have been removed from several of its web pages,… https://t.co/f4IiBEOLx2",2017-12-10 04:01:07+00:00,0.2732,0.0,0.095,0.905
89,Sun Dec 10 04:30:04 +0000 2017,CNN,A @CNNMoney reporter bought $250 in bitcoin. Here's what he learned https://t.co/AXbsPWYfWQ https://t.co/OF973bs3zG,2017-12-10 04:30:04+00:00,0.0,0.0,0.0,1.0
88,Sun Dec 10 05:01:09 +0000 2017,CNN,Facebook has made its internal sexual harassment policy public https://t.co/Mnhn3IkTo9 https://t.co/mb3KpYAhZa,2017-12-10 05:01:09+00:00,-0.5423,0.259,0.0,0.741
87,Sun Dec 10 05:31:46 +0000 2017,CNN,"""My life depends on it. I need you to make your vote match your principles, Senator."" A man who says he was recentl… https://t.co/i8HgQFVMXl",2017-12-10 05:31:46+00:00,0.0,0.0,0.0,1.0
86,Sun Dec 10 06:00:28 +0000 2017,CNN,Hispanic unemployment in the US is at an all-time low under President Trump https://t.co/pp37gMuqQR https://t.co/W0DQM5JLSY,2017-12-10 06:00:28+00:00,-0.6124,0.278,0.0,0.722
85,Sun Dec 10 06:30:08 +0000 2017,CNN,A woman who made it through a wildfire in Southern California turned her home into a donation site for victims… https://t.co/psGRaWVtke,2017-12-10 06:30:08+00:00,0.0,0.0,0.0,1.0
84,Sun Dec 10 07:00:16 +0000 2017,CNN,"State Department officials defended President Trump's recognition of Jerusalem as Israel's capital, saying it refle… https://t.co/MfvgXGJ45B",2017-12-10 07:00:16+00:00,0.0,0.0,0.0,1.0
83,Sun Dec 10 07:30:05 +0000 2017,CNN,How states that carried Trump to victory avoid one sticky part of the tax bill https://t.co/WJ7mEeH7TA https://t.co/NYXJI8onFY,2017-12-10 07:30:05+00:00,-0.296,0.121,0.0,0.879
82,Sun Dec 10 08:00:19 +0000 2017,CNN,"""Horse people are a community... Leaving one behind is like leaving a child behind ... you just can't do it.""

Hors… https://t.co/6Y888FVc4X",2017-12-10 08:00:19+00:00,0.3612,0.0,0.116,0.884
81,Sun Dec 10 08:30:15 +0000 2017,CNN,"US jobs continued their strong run in November as employers added 228,000 jobs and the unemployment rate remained a… https://t.co/NYSqgRvB0s",2017-12-10 08:30:15+00:00,0.1027,0.12,0.136,0.744
80,Sun Dec 10 09:00:37 +0000 2017,CNN,The gold rush for black market fish bladders has pushed this tiny porpoise toward extinction #vaquita… https://t.co/5Wn1UGNZuC,2017-12-10 09:00:37+00:00,0.0,0.0,0.0,1.0
79,Sun Dec 10 09:30:17 +0000 2017,CNN,"Flu season is gaining speed in the United States, especially in the South, after getting off to a slow start… https://t.co/nFotP1jG5X",2017-12-10 09:30:17+00:00,0.4588,0.103,0.222,0.675
78,Sun Dec 10 10:00:09 +0000 2017,CNN,The stock market has seen a record-breaking ascent this year. But who is actually making money off the boom? Rich p… https://t.co/CJ8V8KtDJb,2017-12-10 10:00:09+00:00,0.5574,0.0,0.153,0.847
77,Sun Dec 10 10:30:12 +0000 2017,CNN,New imaging finds crescent-shaped eye damage in a woman who tried to view the total solar eclipse in August… https://t.co/SdkIu6dPPF,2017-12-10 10:30:12+00:00,-0.4939,0.151,0.0,0.849
76,Sun Dec 10 11:01:40 +0000 2017,CNN,Dramatic footage from @sarasidnerCNN shows one of the Southern California wildfires has jumped over a freeway while… https://t.co/DFuXTPkuja,2017-12-10 11:01:40+00:00,0.0516,0.0,0.07,0.93
75,Sun Dec 10 11:30:04 +0000 2017,CNN,"Four questions the November jobs report will help to answer:

- How low can unemployment go?

- Any remaining hurri… https://t.co/3mVntmTOA4",2017-12-10 11:30:04+00:00,-0.3182,0.211,0.114,0.675
74,Sun Dec 10 12:31:30 +0000 2017,CNN,"“We're not looking for perfection, we're just looking for better than yesterday."" After rehab changed his life, Aar… https://t.co/5HRacrBX3M",2017-12-10 12:31:30+00:00,-0.0253,0.131,0.127,0.742
73,Sun Dec 10 13:00:24 +0000 2017,CNN,"We all tend to change our voices when talking to babies, but those changes can also vary across cultures. Here's ho… https://t.co/knCYMFE4kH",2017-12-10 13:00:24+00:00,0.0,0.0,0.0,1.0
72,Sun Dec 10 13:30:20 +0000 2017,CNN,The rise of a ‘fish mafia’ in this small Mexican town is killing off an entire population of small porpoises.… https://t.co/AmToMyq64y,2017-12-10 13:30:20+00:00,-0.6597,0.188,0.0,0.812
71,Sun Dec 10 14:01:06 +0000 2017,CNN,"An Iranian-Turkish gold trader admitted in a US court that he made ""maybe $150 million"" by helping Iran dodge inter… https://t.co/yg1Kck4Zxt",2017-12-10 14:01:06+00:00,0.3818,0.0,0.167,0.833
70,Sun Dec 10 14:06:18 +0000 2017,CNN,"Republican Alabama Sen. Richard Shelby: “I couldn’t vote for Roy Moore, I didn’t vote for Roy Moore, I wrote in a d… https://t.co/Q40njVbgsQ",2017-12-10 14:06:18+00:00,0.0,0.0,0.0,1.0
69,Sun Dec 10 14:08:02 +0000 2017,CNN,"Republican Alabama Sen. Richard Shelby on Roy Moore’s accusers: “I think the women are believable, I have no reason… https://t.co/cVbHjeOmTy",2017-12-10 14:08:02+00:00,-0.296,0.109,0.0,0.891
68,Sun Dec 10 14:12:33 +0000 2017,CNN,"“I want to reiterate again: I didn’t vote for Roy Moore, I wouldn’t vote for Roy Moore, I think the Republican Part… https://t.co/2R9DV9eqAo",2017-12-10 14:12:33+00:00,0.0772,0.0,0.064,0.936
67,Sun Dec 10 14:13:18 +0000 2017,CNN,"Republican Alabama Sen. Richard Shelby says there's ""something for just about everybody"" in the GOP tax bill… https://t.co/hy29AebKKk",2017-12-10 14:13:18+00:00,0.0,0.0,0.0,1.0
66,Sun Dec 10 14:22:03 +0000 2017,CNN,"US Ambassador to the United Nations Nikki Haley says moving the capital of Israel to Jerusalem will ""move the ball… https://t.co/DbDpLD6McJ",2017-12-10 14:22:03+00:00,0.4215,0.0,0.123,0.877
65,Sun Dec 10 14:28:16 +0000 2017,CNN,US Ambassador to the United Nations Nikki Haley: “I have no concern” that President Trump’s Jerusalem decision will… https://t.co/ZHep68YyhL,2017-12-10 14:28:16+00:00,0.1531,0.1,0.127,0.773
64,Sun Dec 10 14:28:37 +0000 2017,CNN,"US Ambassador to the United Nations Nikki Haley: ""Jerusalem is the capital of Israel...whatever is East Jerusalem o… https://t.co/hnnw3xaf3q",2017-12-10 14:28:37+00:00,0.4215,0.0,0.135,0.865
63,Sun Dec 10 14:30:19 +0000 2017,CNN,Instagram is testing a standalone messaging app called Direct https://t.co/0B9ky2jDio https://t.co/EIP9KH2gmO,2017-12-10 14:30:19+00:00,0.0,0.0,0.0,1.0
62,Sun Dec 10 14:38:22 +0000 2017,CNN,Rep. Adam Schiff on Russian outreach to Hope Hicks: “It’s not at all a surprise that they would make outreach to pe… https://t.co/MwQM9RE14r,2017-12-10 14:38:22+00:00,0.647,0.067,0.264,0.669
61,Sun Dec 10 14:50:49 +0000 2017,CNN,A group of precocious kids had some tough questions for Santa Claus on @nbcsnl last night https://t.co/M70oxgiqRJ https://t.co/zDbbuNDoUT,2017-12-10 14:50:49+00:00,-0.128,0.086,0.0,0.914
