,created_at,screen_name,text,converted_time,compound,neg,pos,neu
99,Sun Dec 10 19:36:03 +0000 2017,FoxNews,"At his rally Friday in Florida, @POTUS reiterated his hard-line stance on immigration. https://t.co/23mOEFXJ7a https://t.co/KUwWhi4QFG",2017-12-10 19:36:03+00:00,0.0,0.0,0.0,1.0
98,Sun Dec 10 19:37:38 +0000 2017,FoxNews,".@nikkihaley on @POTUS' Jerusalem decision: ""The U.S. has always had it's embassy in the capital city and so Israel… https://t.co/rJ1OLyQAMd",2017-12-10 19:37:38+00:00,0.0,0.0,0.0,1.0
97,Sun Dec 10 19:40:30 +0000 2017,FoxNews,".@nikkihaley on backlash of Jerusalem decision: ""Leaders understand that courage is important. We don't do things j… https://t.co/rhZrTA76NQ",2017-12-10 19:40:30+00:00,0.6124,0.0,0.238,0.762
96,Sun Dec 10 19:41:21 +0000 2017,FoxNews,"RT @EricShawnTV: I anchor @FoxNews at 4 &amp; 6 pm ET: ISIS is defeated in Iraq. Can it last, and will we ultimately defeat the jihad philosoph…",2017-12-10 19:41:21+00:00,-0.7269,0.217,0.0,0.783
95,Sun Dec 10 19:43:18 +0000 2017,FoxNews,".@nikkihaley on Jerusalem decision: ""We didn't set any parameters, we didn't say this was the final status, what we… https://t.co/Iwdk8B9tvQ",2017-12-10 19:43:18+00:00,0.0,0.0,0.0,1.0
94,Sun Dec 10 19:45:55 +0000 2017,FoxNews,".@nikkihaley on Jerusalem decision: ""[@POTUS] strongly believes that those final statuses should be decided between… https://t.co/Ib5Hi7UCF1",2017-12-10 19:45:55+00:00,0.2732,0.0,0.123,0.877
93,Sun Dec 10 19:47:43 +0000 2017,FoxNews,".@nikkihaley on Jerusalem decision: ""We will respect anything that the two parties come together on.""… https://t.co/K5Mpz3e8nh",2017-12-10 19:47:43+00:00,0.7003,0.0,0.293,0.707
92,Sun Dec 10 19:49:06 +0000 2017,FoxNews,"On @ffweekend, @Varneyco praised @POTUS's handling of the economy. https://t.co/0QufAxXL4E",2017-12-10 19:49:06+00:00,0.4939,0.0,0.262,0.738
91,Sun Dec 10 19:50:25 +0000 2017,FoxNews,"California wildfires kill at least 1 as high winds threaten more outbreaks 

https://t.co/9rLHJ0OZFP",2017-12-10 19:50:25+00:00,-0.8074,0.422,0.0,0.578
90,Sun Dec 10 19:51:19 +0000 2017,FoxNews,".@nikkihaley on Jerusalem decision: ""When you bully Israel, you are not helping the peace process. We see Israel as… https://t.co/pxZtiiahOq",2017-12-10 19:51:19+00:00,-0.7869,0.318,0.0,0.682
89,Sun Dec 10 19:58:07 +0000 2017,FoxNews,".@nikkihaley on North Korea sanctions: ""The last time [China] completely cut off the oil, North Korea came to the t… https://t.co/KddIYS43iP",2017-12-10 19:58:07+00:00,-0.3384,0.107,0.0,0.893
88,Sun Dec 10 20:01:49 +0000 2017,FoxNews,"Moments ago, @FLOTUS called for charitable giving as the holidays approach. https://t.co/bMqn6mBKMs",2017-12-10 20:01:49+00:00,0.7717,0.0,0.461,0.539
87,Sun Dec 10 20:05:30 +0000 2017,FoxNews,"RT @EricShawnTV: I anchor @FoxNews at 4 &amp; 6 pm ET: ""If North Korea even attempts to try and threaten the United States or any one of our al…",2017-12-10 20:05:30+00:00,0.0516,0.088,0.095,0.816
86,Sun Dec 10 20:06:39 +0000 2017,FoxNews,"Swiss woman angry over champagne refusal ejected from plane 

https://t.co/DsVESiiYWO",2017-12-10 20:06:39+00:00,-0.2732,0.244,0.163,0.593
85,Sun Dec 10 20:07:01 +0000 2017,FoxNews,TONIGHT: Brian @Kilmeade Goes Inside the Life and Legacy of Andrew Jackson - Tune in at 8p &amp; 11p ET on Fox News Cha… https://t.co/MVXkKU7bA0,2017-12-10 20:07:01+00:00,0.0,0.0,0.0,1.0
