,created_at,screen_name,text,converted_time,compound,neg,pos,neu
99,Sun Dec 10 03:01:59 +0000 2017,nytimes,"Come what may March 4, the night of the Academy Awards, Jordan Peele can take comfort in knowing that he already won https://t.co/O4qbsj7ES8",2017-12-10 03:01:59+00:00,0.8481,0.0,0.315,0.685
98,Sun Dec 10 03:18:33 +0000 2017,nytimes,Here’s how to become part of the small group of people that successfully achieve their New Year's resolution https://t.co/oBxWcJxlTM,2017-12-10 03:18:33+00:00,0.4939,0.0,0.151,0.849
97,Sun Dec 10 03:35:12 +0000 2017,nytimes,"In “Home,” an entire house is custom built, room by room, on stage before your astonished eyes https://t.co/XpinY2NTHL",2017-12-10 03:35:12+00:00,0.3818,0.0,0.133,0.867
96,Sun Dec 10 03:53:54 +0000 2017,nytimes,26 casseroles for cold nights https://t.co/K2t598jCUP https://t.co/q5OEUXrScn,2017-12-10 03:53:54+00:00,0.0,0.0,0.0,1.0
95,Sun Dec 10 04:11:22 +0000 2017,nytimes,"Maybe your love of “Star Wars” runs deep. Maybe you're a newbie. We catch you up ahead of ""The Last Jedi.""… https://t.co/tJHSnELSGV",2017-12-10 04:11:22+00:00,0.6369,0.0,0.174,0.826
94,Sun Dec 10 04:30:14 +0000 2017,nytimes,"Here's how to get your body and mind in top shape in 2018, whatever that means for you https://t.co/xcs0zL1z12",2017-12-10 04:30:14+00:00,0.2023,0.0,0.091,0.909
93,Sun Dec 10 04:47:15 +0000 2017,nytimes,Trump reduced the size of 2 monuments this week and plans for many others are unclear. We explored a few of those p… https://t.co/lXFtPoN4kO,2017-12-10 04:47:15+00:00,-0.25,0.087,0.0,0.913
92,Sun Dec 10 05:04:51 +0000 2017,nytimes,The best TV shows of 2017 https://t.co/b6UzsqJTb8,2017-12-10 05:04:51+00:00,0.6369,0.0,0.412,0.588
91,Sun Dec 10 05:21:08 +0000 2017,nytimes,Many athletes have been told that smiling while sweating will make our efforts feel easier. But is it actually true? https://t.co/i9wPDL8lm8,2017-12-10 05:21:08+00:00,0.8225,0.0,0.323,0.677
90,Sun Dec 10 05:37:35 +0000 2017,nytimes,"It has been several generations since Haiti was a major tourist destination, but it may become one again https://t.co/JpUVdMThi8",2017-12-10 05:37:35+00:00,0.0,0.0,0.0,1.0
89,Sun Dec 10 05:56:32 +0000 2017,nytimes,These almond cookies need just 4 ingredients https://t.co/WxR0qJfsHF,2017-12-10 05:56:32+00:00,0.0,0.0,0.0,1.0
88,Sun Dec 10 06:29:54 +0000 2017,nytimes,Macron Steps Into Middle East Role as U.S. Retreats https://t.co/mSiyzgup8j,2017-12-10 06:29:54+00:00,0.0,0.0,0.0,1.0
87,Sun Dec 10 06:48:22 +0000 2017,nytimes,How to use an Instant Pot https://t.co/1nJIGi8N8Y https://t.co/C2Ic2vzmmg,2017-12-10 06:48:22+00:00,0.0,0.0,0.0,1.0
86,Sun Dec 10 07:04:24 +0000 2017,nytimes,Older Venezuelans who have migrated say that arguably the biggest hardship is starting over in their sunset years https://t.co/Z9RfqIqtuH,2017-12-10 07:04:24+00:00,-0.5106,0.202,0.0,0.798
85,Sun Dec 10 07:20:51 +0000 2017,nytimes,An algorithm analyzed 52 million dolphin clicks. It found 7 distinct types of sounds. https://t.co/noyluyBGrH,2017-12-10 07:20:51+00:00,0.0,0.0,0.0,1.0
