Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AK,Alaska,Demographics,Race,What is your race/ethnicity?,Black,Overall,Overall,54,4.5,3.2,5.8,"1,247",%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,02,BO1,CAT1,RACE,RESP006,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Sex,Gender of respondent,Male,Overall,Overall,"1,967",52.2,50.1,54.2,"2,078",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,02,BO1,CAT1,SEX,RESP001,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Sex,Gender of respondent,Female,Overall,Overall,"2,421",47.8,45.8,49.9,"2,079",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,02,BO1,CAT1,SEX,RESP002,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Demographics,Sex,Gender of respondent,Male,Overall,Overall,"5,982",49.3,48,50.7,"2,089",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,04,BO1,CAT1,SEX,RESP001,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Demographics,Sex,Gender of respondent,Female,Overall,Overall,"8,885",50.7,49.4,52.1,"2,090",%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,04,BO1,CAT1,SEX,RESP002,"(34.865970280000454, -111.76381127699972)"
2014,AL,Alabama,Demographics,Age,What is your age?,18-24 years,Overall,Overall,439,13,11.7,14.3,"1,349",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP010,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Age,What is your age?,25-34 years,Overall,Overall,759,16.5,15.2,17.8,"1,350",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP011,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Age,What is your age?,35-44 years,Overall,Overall,896,16,14.8,17.2,"1,351",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP012,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Age,What is your age?,45-54 years,Overall,Overall,"1,421",17.4,16.3,18.5,"1,352",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP013,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Age,What is your age?,55-64 years,Overall,Overall,"2,001",16.9,15.9,17.9,"1,353",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP014,"(32.84057112200048, -86.63186076199969)"
