,created_at,screen_name,text,converted_time,compound,neg,pos,neu
99,Wed Nov 29 03:57:07 +0000 2017,CBS,Two. Million. Dollar. Bra. 😮  #VSFashionShow https://t.co/4dp7RbMHlp,2017-11-29 03:57:07+00:00,0.0,0.0,0.0,1.0
98,Wed Nov 29 04:00:58 +0000 2017,CBS,55 Models. 88 Looks. 1 FABULOUS Night. #VSFashionShow https://t.co/TmYqRjDRE5,2017-11-29 04:00:58+00:00,0.6289,0.0,0.371,0.629
97,Wed Nov 29 04:02:16 +0000 2017,CBS,"RT @vannalovescats: Another successful show. I’m so proud of all of the beautiful ladies, they all did amazing. The musical guests were FAN…",2017-11-29 04:02:16+00:00,0.9476,0.0,0.449,0.551
96,Wed Nov 29 04:13:05 +0000 2017,CBS,Want to relive all of your favorite #VSFashionShow runway moments?  @GIPHY has you covered. https://t.co/mgfziAQR4c,2017-11-29 04:13:05+00:00,0.5106,0.0,0.249,0.751
95,Wed Nov 29 06:41:12 +0000 2017,CBS,"RT @VictoriasSecret: That’s a wrap on the 2017 #VSFashionShow!! BIG thanks to the Angels, the people of Shanghai &amp; YOU for watching! https:…",2017-11-29 06:41:12+00:00,0.5826,0.0,0.152,0.848
94,Wed Nov 29 07:56:05 +0000 2017,CBS,Missed the world’s most celebrated fashion show? Catch up on your own time and watch the entire 2017 Victoria's Sec… https://t.co/9OuYvHItzh,2017-11-29 07:56:05+00:00,0.4201,0.087,0.158,0.754
93,Wed Nov 29 08:22:35 +0000 2017,CBS,"From the sky-high heels to the jaw-dropping wings, these outfits are fashion goals! See all the best looks from the… https://t.co/GnyZ8NnBYH",2017-11-29 08:22:35+00:00,0.6696,0.0,0.183,0.817
92,Wed Nov 29 08:39:05 +0000 2017,CBS,Some of the best moments happen behind the scenes! Here's your backstage pass to the 2017 Victoria's Secret Fashion… https://t.co/S8MpOnhC6b,2017-11-29 08:39:05+00:00,0.6696,0.0,0.191,0.809
91,Wed Nov 29 09:09:48 +0000 2017,CBS,"Stars @Miguel, @Harry_Styles, @leslieodomjr &amp; more set the tone for a truly incredible show! Watch all the musical… https://t.co/kmo4l3aGai",2017-11-29 09:09:48+00:00,0.4926,0.0,0.158,0.842
90,Wed Nov 29 12:00:06 +0000 2017,CBS,This entire collection is drop-dead gorgeous. See all the most sizzling looks from the 2017 #VSFashionShow:… https://t.co/zpTKXcm05r,2017-11-29 12:00:06+00:00,0.6124,0.0,0.2,0.8
89,Wed Nov 29 15:00:07 +0000 2017,CBS,The 'Only Angel' @Harry_Styles saw last night were the ones on the runway! Watch him perform at the #VSFashionShow:… https://t.co/na8GAiZwmS,2017-11-29 15:00:07+00:00,0.0,0.0,0.0,1.0
88,Wed Nov 29 20:41:13 +0000 2017,CBS,RT @funnyordie: Live! Watch Tim Meadows and Patrick Brammall of @NoActivityCBS play themselves in new 8-bit video game! https://t.co/nXCuHO…,2017-11-29 20:41:13+00:00,0.4559,0.0,0.142,0.858
87,Wed Nov 29 21:07:33 +0000 2017,CBS,Did you catch these tiny moments during the 2017 Victoria's Secret Fashion Show? Find out what you may have missed:… https://t.co/IIyupot9uU,2017-11-29 21:07:33+00:00,0.0,0.0,0.0,1.0
86,Wed Nov 29 22:34:56 +0000 2017,CBS,Discover every reason why #BrunoMars is 24K Magic! Watch Bruno Mars: 24K Magic Live at the Apollo tonight @ 10/9c o… https://t.co/oaPjvl3rSW,2017-11-29 22:34:56+00:00,0.0,0.0,0.0,1.0
85,Wed Nov 29 23:13:40 +0000 2017,CBS,RT @survivorcbs: What drama will ensue on back-to-back episodes of #Survivor tonight? Watch a sneak peek now: https://t.co/LHcxyClSw1 https…,2017-11-29 23:13:40+00:00,0.0,0.0,0.0,1.0
84,Wed Nov 29 23:14:57 +0000 2017,CBS,RT @YoungSheldon: Sheldon will do whatever it takes to get his hands on his own computer in tomorrow's all-new episode of #YoungSheldon! ht…,2017-11-29 23:14:57+00:00,0.0,0.0,0.0,1.0
83,Wed Nov 29 23:15:24 +0000 2017,CBS,RT @BrunoMars: Ladies put your hoops on tonight! Fellas break out that good cologne! #BrunosTvSpecial is airing on @CBS! What y’all trynna…,2017-11-29 23:15:24+00:00,0.5826,0.0,0.152,0.848
82,Wed Nov 29 23:20:13 +0000 2017,CBS,You'll treasure this special night with #BrunoMars! Find out how to watch Bruno Mars: 24K Magic Live at the Apollo… https://t.co/qF2eRcJLSJ,2017-11-29 23:20:13+00:00,0.6825,0.0,0.228,0.772
81,Thu Nov 30 00:06:05 +0000 2017,CBS,Calling all Bruno Mars' lovelies... don't miss Bruno Mars: 24K Magic Live at the Apollo tonight @ 10/9c on CBS &amp; CB… https://t.co/nGOgukLMx9,2017-11-30 00:06:05+00:00,0.1139,0.0,0.064,0.936
80,Thu Nov 30 02:45:03 +0000 2017,CBS,"Pop pop, it's showtime! Bruno Mars: 24K Magic Live at the Apollo starts at 10/9c on CBS, or try 1 month FREE of CBS… https://t.co/cpCSYDKieM",2017-11-30 02:45:03+00:00,0.6514,0.0,0.158,0.842
79,Thu Nov 30 02:59:59 +0000 2017,CBS,"Get on your feet, and prepare to dance. #BrunoMars is hitting the stage! https://t.co/yOyq8JlMZj",2017-11-30 02:59:59+00:00,0.0,0.0,0.0,1.0
78,Thu Nov 30 03:02:34 +0000 2017,CBS,RT @asbstar30: BRUNO #BrunoMars,2017-11-30 03:02:34+00:00,0.0,0.0,0.0,1.0
77,Thu Nov 30 03:03:15 +0000 2017,CBS,RT @Queentassia14: Bruno Mars Live at the Apollo!!!! Yeah I have to wake up at like 4 am for work.... but it's worth it. #BrunoMars #Brunos…,2017-11-30 03:03:15+00:00,0.7067,0.0,0.246,0.754
76,Thu Nov 30 03:06:38 +0000 2017,CBS,RT @BrunoMars: POP POP!!💥💥 everyone tweet #BrunosTvSpecial! We on!!!! 🍾,2017-11-30 03:06:38+00:00,0.0,0.0,0.0,1.0
75,Thu Nov 30 03:07:20 +0000 2017,CBS,RT if you’re ready to party with #BrunoMars!! https://t.co/o4qQoKOzgH,2017-11-30 03:07:20+00:00,0.6988,0.0,0.452,0.548
74,Thu Nov 30 03:09:54 +0000 2017,CBS,RT @Tiffany48184: Now that's how you open up a show!!!!! #BrunoMars,2017-11-30 03:09:54+00:00,0.0,0.0,0.0,1.0
73,Thu Nov 30 03:11:31 +0000 2017,CBS,RT @MargoSlade: Best way to relax after a hard day of work watching #BrunoMars on #BrunosTVSpecial my heart is the happiest,2017-11-30 03:11:31+00:00,0.8979,0.049,0.394,0.557
72,Thu Nov 30 03:23:03 +0000 2017,CBS,"When #BrunoMars tells you to pick up the phone, that’s exactly what you do. https://t.co/JZDS26h3lL",2017-11-30 03:23:03+00:00,0.0,0.0,0.0,1.0
71,Thu Nov 30 03:33:32 +0000 2017,CBS,We’re only halfway into the show. Get ready for more of your favorite #BrunoMars tunes! https://t.co/BJh0PeX864,2017-11-30 03:33:32+00:00,0.7232,0.0,0.302,0.698
70,Thu Nov 30 03:35:13 +0000 2017,CBS,RT @RDMichelleLNK: Loving a dose of #BrunoMars midweek. So amazing!,2017-11-30 03:35:13+00:00,0.8513,0.0,0.542,0.458
69,Thu Nov 30 03:37:13 +0000 2017,CBS,RT @BrunoMars: We love you MARY!!!! ❤️ #BrunosTvSpecial,2017-11-30 03:37:13+00:00,0.7482,0.0,0.434,0.566
68,Thu Nov 30 03:44:54 +0000 2017,CBS,"RT @AllieNY86: His voice is mesmerizing 
#BrunoMars",2017-11-30 03:44:54+00:00,0.0,0.0,0.0,1.0
67,Thu Nov 30 03:51:38 +0000 2017,CBS,RT @Sara_nurse: My 2yr old niece heard @BrunoMars and is now up singing and dancing #BrunosTVSpecial #BrunoMars,2017-11-30 03:51:38+00:00,0.0,0.0,0.0,1.0
66,Thu Nov 30 03:55:37 +0000 2017,CBS,Everybody put your hands up! #BrunoMars https://t.co/jU7NyttAqv,2017-11-30 03:55:37+00:00,0.0,0.0,0.0,1.0
65,Thu Nov 30 03:59:09 +0000 2017,CBS,RT @anitakearney65: I could watch this all night #Brunomars #BrunosTvSpecial so much fun to watch OMG,2017-11-30 03:59:09+00:00,0.5542,0.0,0.204,0.796
64,Thu Nov 30 04:00:27 +0000 2017,CBS,The stage is 🔥🔥 #BrunoMars https://t.co/nykrDH46Bs,2017-11-30 04:00:27+00:00,0.0,0.0,0.0,1.0
